from,to
Allmendinger,SPD
Allmendinger,WZB
Allmendinger,HumboldUni
Allmendinger,Kohlekommission
Grothus,BfB
Grothus,KAD
Grothus,Kohlekommission
Hasselfeldt,CDU
Hasselfeldt,DRK
Hasselfeldt,Kohlekommission
Herntier,Kohlekommission
Kaiser,Greenpeace
Kaiser,Kohlekommission
Kampeter,CDU
Kampeter,BDV
Kampeter,BfA
Kampeter,Kohlekommission
Kapferer,BDEW
Kapferer,FDP
Kapferer,50H
Kapferer,Kohlekommission
Kempf,BDI
Kempf,DEK
Kempf,Kohlekommission
Kreuzberg,CDU
Kreuzberg,Kohlekommission
Laemmel,CDU
Laemmel,PKM
Laemmel,DgeV
Laemmel,WirtuEn
Laemmel,Kohlekommission
Lenz,WirtuEn
Lenz,CSU
Lenz,Kohlekommission
Matthes,Oeko
Matthes,Kohlekommission
Miersch,SPD
Miersch,Kohlekommission
Nemat,Telekom
Nemat,Airbus
Nemat,Kohlekommission
Niebert,DNR
Niebert,DBU
Niebert,Kohlekommission
Niebuhr,UniKiel
Niebuhr,IAB
Niebuhr,Kohlekommission
Platzeck,SPD
Platzeck,DRF
Platzeck,Kohlekommission
Pofalla,CDU
Pofalla,Bahn
Pofalla,Kohlekommission
Praetorius,HTW
Praetorius,Kohlekommission
Priggen,Gruene
Priggen,LEENRW
Priggen,Kohlekommission
Reiche,CDU
Reiche,VKU
Reiche,Westenergie
Reiche,Kohlekommission
Roestel,EnBW
Roestel,SD
Roestel,Gruene
Roestel,Kohlekommission
Schellnhuber,PotsdamKlima
Schellnhuber,IPCC
Schellnhuber,Kohlekommission
Schweitzer,FDP
Schweitzer,DIHT
Schweitzer,Alba
Schweitzer,SpringerFStftng
Schweitzer,ZeissStftng
Schweitzer,Kohlekommission
Tillich,CDU
Tillich,MIBRAG
Tillich,Kohlekommission
Wehrspohn,Frauenhofer
Wehrspohn,Kohlekommission
Weiger,BUND
Weiger,RatNachhaltig
Weiger,Kohlekommission
Wodtke,CDU
Wodtke,Welzow
Wodtke,Kohlekommission
